spelling_accuracy,grammatical_accuracy,percentage_of_corrections,percentage_of_phonetic_accuraccy,presence_of_dyslexia
97.38903394255874,84.50704225352112,15.492957746478872,97.99019344414882,1
90.10989010989012,68.18181818181819,31.818181818181817,93.05841166731658,1
93.88646288209607,83.6734693877551,16.3265306122449,95.79591612106063,1
90.2439024390244,58.18181818181818,41.81818181818181,93.017021663708,1
90.0,79.16666666666666,20.833333333333336,92.02539118591878,1
90.26845637583892,65.07936507936508,34.92063492063492,94.74116895633115,1
93.26923076923077,52.38095238095239,47.61904761904761,94.61868686868688,1
97.71689497716895,80.0,20.0,98.83715601524304,1
92.7536231884058,81.25,18.75,94.56969696969696,1
94.16909620991254,81.29496402877699,18.705035971223023,96.03603152779885,1
96.14035087719299,83.33333333333334,16.666666666666664,96.90195857606003,1
94.23076923076923,85.18518518518519,14.814814814814813,96.33176883176884,1
92.15686274509804,86.11111111111111,13.88888888888889,95.35148371980056,1
94.311377245509,80.28169014084507,19.718309859154928,97.8702894775255,1
95.31914893617022,80.48780487804879,19.51219512195122,96.954351346424,1
91.62011173184358,68.57142857142857,31.428571428571427,92.73731477323754,1
95.65217391304348,83.33333333333334,16.666666666666664,96.78138109197191,1
88.23529411764706,72.72727272727273,27.27272727272727,90.91908091908093,1
94.32314410480349,85.81560283687944,14.184397163120568,96.25353069370222,1
94.55252918287937,87.75510204081633,12.244897959183673,96.30986852847663,1
94.0677966101695,81.25,18.75,94.50889475108227,1
92.6829268292683,76.31578947368422,23.684210526315788,95.26426435487171,1
92.81767955801105,65.71428571428571,34.285714285714285,96.52344616065662,1
88.0503144654088,50.0,50.0,90.19633019979719,1
97.87234042553192,98.0392156862745,1.9607843137254901,98.44385380590315,1
92.7536231884058,76.47058823529412,23.52941176470588,94.83077817373065,1
89.3048128342246,80.95238095238095,19.047619047619047,93.21260559790919,1
92.3076923076923,60.60606060606061,39.39393939393939,93.96393280632411,1
87.13826366559485,36.065573770491795,63.934426229508205,92.37984889398031,1
93.62068965517241,73.04347826086956,26.956521739130434,95.99220881661782,1
95.8974358974359,89.51612903225806,10.483870967741936,97.34265548266666,1
88.21656050955414,34.210526315789465,65.78947368421053,91.96887513314115,1
92.2671353251318,84.84848484848484,15.151515151515152,94.76221091590504,1
87.89473684210526,50.0,50.0,92.41723732414165,1
87.0,63.04347826086957,36.95652173913043,90.52703553756186,1
86.73218673218673,44.11764705882353,55.88235294117647,88.91532154300168,1
95.0,62.5,37.5,98.42324132124143,1
88.75,75.0,25.0,92.37687264003054,1
86.8421052631579,52.94117647058824,47.05882352941176,91.60727558604917,1
97.19626168224299,90.9090909090909,9.090909090909092,97.77077573589202,1
88.67924528301887,48.38709677419355,51.61290322580645,91.56758444018686,1
91.25364431486881,68.65671641791045,31.343283582089555,93.87020462086797,1
91.72259507829978,74.77477477477478,25.225225225225223,94.66024021104235,1
95.50561797752809,73.1958762886598,26.804123711340207,97.63834730554275,1
91.24087591240875,58.18181818181818,41.81818181818181,93.42366876527836,1
90.60402684563759,65.0,35.0,93.84629683157512,1
93.83561643835617,74.71264367816092,25.287356321839084,95.65058751065742,1
